model,best_epoch,best_val_qwk,test_accuracy,test_f1,test_qwk,test_auc
fusion_cnn_vit,14,0.8564601761886842,0.8310626702997275,0.6585679563038802,0.9228375593961566,0.9294354696205167
fusion_resnet_effnet,46,0.8747837651605318,0.8365122615803815,0.6735980024458607,0.9092237625290178,0.9319294499627485
efficientnet_b0,27,0.864557150615409,0.8256130790190735,0.6578345950101101,0.9080446997971559,0.8972185885592697
convnext_tiny,4,0.8850951722321017,0.7901907356948229,0.6478593526376505,0.906201352261902,0.9467051305238214
fusion_densenet_effnet,60,0.8720074604030367,0.8446866485013624,0.6662941120482332,0.9056145150314421,0.9441385973648251
resnet50,29,0.8574320927262103,0.8174386920980926,0.653790196464545,0.8986391686975658,0.9189989158510509
densenet121,19,0.8793842886501677,0.8256130790190735,0.6879898496835029,0.8972993451783862,0.9313171994441675
vit_b16,41,0.8542472746032392,0.8256130790190735,0.6314516475901065,0.8955800349940968,0.9282761241717937
efficientnet_b3,2,0.8631331051031266,0.7384196185286104,0.6051099522592658,0.886009672982207,0.9390605043423517
