Model,Accuracy,F1,QWK,Best_Epoch_QWK
3_UncertaintyTokenRefinement,0.7438692098092643,0.6901394707409033,0.7460650405618179,0.7382808305363353
6_TopologyGraphTransformer,0.7084468664850136,0.632318991563464,0.7216354829258409,0.7208529872062863
1_ConfidenceGatedFusion,0.7166212534059946,0.6499332538197239,0.7188104926589831,0.7243141657584127
7_FrequencySpatialDual,0.7084468664850136,0.6435948192225763,0.7184928413169732,0.7373421131894033
4_OrdinalQWKOptimization,0.7057220708446866,0.6266619429359575,0.7156777164306134,0.719682255635816
9_CausalCounterfactual,0.7084468664850136,0.6446018988905211,0.7139625510882996,0.7192951194036807
8_MixtureOfExpertsSeverity,0.7220708446866485,0.6731058081894445,0.7123266719651719,0.7197005173490323
2_MultiScaleLesionAttention,0.5040871934604905,0.45934018654660763,0.7095343518967674,0.7356124784563336
10_TriLevelSelfDistillation,0.6975476839237057,0.6245243567805504,0.709137340803769,0.7258636788048553
5_DualStreamCrossAttention,0.7384196185286104,0.6965610622236119,0.6985036279028736,0.7116706603291825
