Stage,Model,Seed,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Specificity,ROC_AUC,QWK,Best_Val_QWK,Trainable_Params,Total_Params,Ms_Per_Image
final,TS_ConvNeXtTiny_Residual,42,0.8528610354223434,0.7393989675516225,0.6903956628917374,0.7046263774341551,0.8493684844027554,0.8528610354223434,0.8475858852754034,0.962423480367349,0.9583149357041437,0.917438962528396,0.89756861321322,27824454,141999859,6.706651614862177
final,TS_ConvNeXtTiny_Residual,52,0.8583106267029973,0.7468864468864469,0.7003235908196653,0.7121468895894573,0.8539998602668901,0.8583106267029973,0.8522893439772066,0.96328178621056,0.9584321935961554,0.9190749195807824,0.8859058000997511,27824454,141999859,6.688633146987624
final,TS_ConvNeXtTiny_Residual,62,0.8528610354223434,0.747211492623061,0.6750585362914527,0.6934342821559781,0.8473392141921056,0.8528610354223434,0.843913700762964,0.9612981241223564,0.9603417459617237,0.9192318208797291,0.888870675072343,27824454,141999859,6.7029473567203866
final,TS_LiteCNNViT_Conflict_OrdinalDistill,42,0.8446866485013624,0.7234984984984985,0.6681635086671434,0.6834026583025791,0.8360609928729821,0.8446866485013624,0.8362556276092814,0.9588714687689439,0.9588369114259995,0.9151003879803212,0.889791531665376,524134,114699539,5.419660329169084
final,TS_LiteCNNViT_Conflict_OrdinalDistill,52,0.8392370572207084,0.7183094298311691,0.6539472924509272,0.6711425280207639,0.8303118949191689,0.8392370572207084,0.8290689032837373,0.9572303383637685,0.9571239856617325,0.9136909013782993,0.8927855531285674,524134,114699539,5.416894803579887
final,TS_LiteCNNViT_Conflict_OrdinalDistill,62,0.8528610354223434,0.73889438169812,0.6920231577899505,0.7042354644075388,0.8465458473683791,0.8528610354223434,0.8460769029218326,0.9612742516405028,0.9585328728896413,0.9175886341063177,0.8893242401023994,524134,114699539,5.395168829354018
screen,TS_EfficientNetB0_Residual,42,0.8446866485013624,0.7271687370600415,0.6622355807392155,0.6790077963352712,0.8373789214773694,0.8446866485013624,0.8362578689200625,0.9593093290177052,0.9578568916318333,0.9070946437892464,0.8795800065623974,4014434,118189839,5.782013043395829
screen,TS_LiteCNNViT_BaseResidual,42,0.8501362397820164,0.7380781675863644,0.6849902574863319,0.7005204357139728,0.8451201734714486,0.8501362397820164,0.8438695449035387,0.9607083900525317,0.9588955094482743,0.9085044219145009,0.8859058000997511,524134,114699539,5.403269214266327
screen,TS_LiteCNNViT_BiGRU_OrdinalDistill,42,0.8446866485013624,0.7235358698356801,0.6660193645229994,0.6803629309724587,0.8357368841937811,0.8446866485013624,0.8350990494335874,0.9585578524181232,0.9580649125041504,0.9123138542806999,0.8901784586193673,523942,114699347,5.419619401729074
screen,TS_LiteCNNViT_ConflictBrake,42,0.8528610354223434,0.7395271395271396,0.6869902574863319,0.7021650894189778,0.8482671733352931,0.8528610354223434,0.8467015261432317,0.9617836588697362,0.9583423300052074,0.9116784807911088,0.8918074105746402,524134,114699539,5.41962005137098
